radix,infinitve,1.pers-singular-präsens,2.pers-singular-präsens,3.pers-singular-präsens,1.pers-singular-präteritum,partizip 2,1.pers-konjunktiv 2,imperativ-singular,imperativ-plural,hilfsverb
hofmeister,hofmeistern,hofmeistere,hofmeisterst,hofmeistert,hofmeisterte,gehofmeistert,hofmeisterte,hofmeistere,hofmeistert,haben
zubring,zubringen,bringe zu,bringst zu,bringt zu,brachte zu,zugebracht,brächte zu,bring zu,bringt zu,haben
entglas,entglasen,entglase,entglast,entglast,entglaste,entglast,entglaste,entglas,entglast,haben
austrag,austragen,trage aus,trägst aus,trägt aus,trug aus,ausgetragen,trüge aus,trag aus,tragt aus,haben
null,nullen,nulle,nullst,nullt,nullte,genullt,nullte,nulle,nullt,haben
schuld,schulden,schulde,schuldest,schuldet,schuldete,geschuldet,schuldete,schuld,schuldet,haben
guthab,guthaben,habe gut,hast gut,hat gut,hatte gut,gutgehabt,hätte gut,habe gut,habt gut,haben
entspann,entspannen,entspanne,entspannst,entspannt,entspannte,entspannt,entspannte,entspann,entspannt,haben
explantier,explantieren,explantiere,explantierst,explantiert,explantierte,explantiert,explantierte,explantier,explantiert,haben
implantier,implantieren,implantiere,implantierst,implantiert,implantierte,implantiert,implantierte,implantier,implantiert,haben
wiederkehr,wiederkehren,kehre wieder,kehrst wieder,kehrt wieder,kehrte wieder,wiedergekehrt,kehrte wieder,kehr wieder,kehrt wieder,sein
durchquer,durchqueren,durchquere,durchquerst,durchquert,durchquerte,durchquert,durchquerte,durchquer,durchquert,haben
email,emailen,emaile,emailst,emailt,emailte,geemailt,emailte,emaile,emailt,haben
e-mail,e-mailen,e-maile,e-mailst,e-mailt,e-mailte,geemailt,e-mailte,e-maile,e-mailt,haben
verstaub,verstauben,verstaube,verstaubst,verstaubt,verstaubte,verstaubt,verstaubte,verstaube,verstaubt,sein
päppel,päppeln,päpple,päppelst,päppelt,päppelte,gepäppelt,päppelte,päpple,päppelt,haben
marmorier,marmorieren,marmoriere,marmorierst,marmoriert,marmorierte,marmoriert,marmorierte,marmorier,marmoriert,haben
wegkomm,wegkommen,komme weg,kommst weg,kommt weg,kam weg,weggekommen,käme weg,komm weg,kommt weg,haben
weitergeb,weitergeben,gebe weiter,gibst weiter,gibt weiter,gab weiter,weitergegeben,gäbe weiter,gib weiter,gebt weiter,haben
weiterleit,weiterleiten,leite weiter,leitest weiter,leitet weiter,leitete weiter,weitergeleitet,leitete weiter,leite weiter,leitet weiter,haben
wimmel,wimmeln,wimmle,wimmelst,wimmelt,wimmelte,gewimmelt,wimmelte,wimmel,wimmelt,haben
aufsag,aufsagen,sage auf,sagst auf,sagt auf,sagte auf,aufgesagt,sagte auf,sag auf,sagt auf,haben
satthab,satthaben,habe satt,hast satt,hat satt,hatte satt,sattgehabt,hätte satt,hab satt,habt satt,haben
darleih,darleihen,leihe dar,leihst dar,leiht dar,lieh dar,dargeliehen,liehe dar,leihe dar,leiht dar,haben
dokter,doktern,doktere,dokterst,doktert,dokterte,gedoktert,dokterte,dokter,doktert,haben
spinks,spinksen,spinkse,spinkst,spinkst,spinkste,gespinkst,spinkste,spinkse,spinkst,haben
abwähl,abwählen,wähle ab,wählst ab,wählt ab,wählte ab,abgewählt,wählte ab,wähl ab,wählt ab,haben
bettel,betteln,bettle,bettelst,bettelt,bettelte,gebettelt,bettelte,bettle,bettelt,haben
weit,weiten,weite,weitest,weitet,weitete,geweitet,weitete,weit,weitet,haben
hampel,hampeln,hample,hampelst,hampelt,hampelte,gehampelt,hampelte,hample,hampelt,haben
trampel,trampeln,trample,trampelst,trampelt,trampelte,getrampelt,trampelte,trampel,trampelt,sein
unterfinanzier,unterfinanzieren,unterfinanziere,unterfinanzierst,unterfinanziert,unterfinanzierte,unterfinanziert,unterfinanzierte,unterfinanziere,unterfinanziert,haben
strampel,strampeln,strample,strampelst,strampelt,strampelte,gestrampelt,strampelte,strampel,strampelt,haben
bestreit,bestreiten,bestreite,bestreitest,bestreitet,bestritt,bestritten,bestritte,bestreite,bestreitet,haben
verschachtel,verschachteln,verschachtle,verschachtelst,verschachtelt,verschachtelte,verschachtelt,verschachtelte,verschachtel,verschachtelt,haben
bestaun,bestaunen,bestaune,bestaunst,bestaunt,bestaunte,bestaunt,bestaunte,bestaun,bestaunt,haben
durchtrenn,durchtrennen,durchtrenne,durchtrennst,durchtrennt,durchtrennte,durchtrennt,durchtrennte,durchtrenne,durchtrennt,haben
staun,staunen,staune,staunst,staunt,staunte,gestaunt,staunte,staun,staunt,haben
aufhaub,aufhauben,haube auf,haubst auf,haubt auf,haubte auf,aufgehaubt,haubte auf,haube auf,haubt auf,haben
elektrisier,elektrisieren,elektrisiere,elektrisierst,elektrisiert,elektrisierte,elektrisiert,elektrisierte,elektrisiere,elektrisiert,haben
restaurier,restaurieren,restauriere,restaurierst,restauriert,restaurierte,restauriert,restaurierte,restauriere,restauriert,haben
einbett,einbetten,bette ein,bettest ein,bettet ein,bettete ein,eingebettet,bettete ein,bette ein,bettet ein,haben
eingemeind,eingemeinden,gemeinde ein,gemeindest ein,gemeindet ein,gemeindete ein,eingemeindet,gemeindete ein,gemeind ein,gemeindet ein,haben
entlaus,entlausen,entlause,entlaust,entlaust,entlauste,entlaust,entlauste,entlaus,entlaust,haben
entlaub,entlauben,entlaube,entlaubst,entlaubt,entlaubte,entlaubt,entlaubte,entlaube,entlaubt,haben
entrümpel,entrümpeln,entrümple,entrümpelst,entrümpelt,entrümpelte,entrümpelt,entrümpelte,entrümple,entrümpelt,haben
erstarr,erstarren,erstarre,erstarrst,erstarrt,erstarrte,erstarrt,erstarrte,erstarr,erstarrt,sein
entstaub,entstauben,entstaube,entstaubst,entstaubt,entstaubte,entstaubt,entstaubte,entstaube,entstaubt,haben
entwässer,entwässern,entwässere,entwässerst,entwässert,entwässerte,entwässert,entwässerte,entwässer,entwässert,haben
entmacht,entmachten,entmachte,entmachtest,entmachtet,entmachtete,entmachtet,entmachtete,entmacht,entmachtet,haben
einbürger,einbürgern,bürgere ein,bürgerst ein,bürgert ein,bürgerte ein,eingebürgert,bürgerte ein,bürgere ein,bürgert ein,haben
einwärm,einwärmen,wärme ein,wärmst ein,wärmt ein,wärmte ein,eingewärmt,wärmte ein,wärme ein,wärmt ein,haben
hleba,hleban,hleba,hlebast,hlebat,hlebate,gehlebat,hlebate,hleba,hlebat,haben
shuka,shukan,shuka,shukast,shukat,shukate,geshukat,shukate,shuka,shukat,haben
verfick,verficken,verficke,verfickst,verfickt,verfickte,verfickt,verfickte,verficke,verfickt,haben
zerfick,zerficken,zerficke,zerfickst,zerfickt,zerfickte,zerfickt,zerfickte,zerficke,zerfickt,haben
heranmach,heranmachen,mache heran,machst heran,macht heran,machte heran,herangemacht,machte heran,mach heran,macht heran,haben
fasel,faseln,fasele,faselst,faselt,faselte,gefaselt,faselte,fasel,faselt,haben
verherrlich,verherrlichen,verherrliche,verherrlichst,verherrlicht,verherrlichte,verherrlicht,verherrlichte,verherrlich,verherrlicht,haben
galvanisier,galvanisieren,galvanisiere,galvanisierst,galvanisiert,galvanisierte,galvanisiert,galvanisierte,galvanisier,galvanisiert,haben
gesteh,gestehen,gestehe,gestehst,gesteht,gestand,gestanden,gestände,gestehe,gesteht,haben
glattstell,glattstellen,stelle glatt,stellst glatt,stellt glatt,stellte glatt,glattgestellt,stellte glatt,stell glatt,stellt glatt,haben
glieder,gliedern,gliedere,gliederst,gliedert,gliederte,gegliedert,gliederte,gliedere,gliedert,haben
gratinier,gratinieren,gratiniere,gratinierst,gratiniert,gratinierte,gratiniert,gratinierte,gratinier,gratiniert,haben
