lemma,word,type
Abbruchmaterial,Abbruchmaterial,noun
Abbruchobjekt,Abbruchobjekt,noun
Abbruchreaktion,Abbruchreaktion,noun
Abbruchsgenehmigung,Abbruchsgenehmigung,noun
Abbruchsieg,Abbruchsieg,noun
Abbruchstein,Abbruchstein,noun
Abbruchstelle,Abbruchstelle,noun
Abbt,,noun
Abbuchung,Abbuchung,noun
Abbuchungsauftrag,Abbuchungsauftrag,noun
Abbé,Abbé,noun
Abbé,,noun
Abbüßung,Abbüßung,noun
Abc,Abc,noun
Abc-Buch,Abc-Buch,noun
Abc-Code,Abc-Code,noun
Abc-Kode,Abc-Kode,noun
Abc-Schütze,Abc-Schütze,noun
Abc-Schützin,Abc-Schützin,noun
Abcdarier,Abcdarier,noun
Abcdarium,Abcdarium,noun
Abcdarius,Abcdarius,noun
Abchase,Abchase,noun
Abchasien,,noun
Abchasin,Abchasin,noun
Abchasisch,,noun
Abciximab,Abciximab,noun
Abda,,noun
Abdach,Abdach,noun
Abdampf,Abdampf,noun
Abdampfen,Abdampfen,noun
Abdankung,Abdankung,noun
Abdarbung,Abdarbung,noun
Abdasseler,Abdasseler,noun
Abdasselung,Abdasselung,noun
Abdassler,Abdassler,noun
Abdasslung,Abdasslung,noun
Abdeck-Aufdecktest,Abdeck-Aufdecktest,noun
Abdeckband,Abdeckband,noun
Abdeckblech,Abdeckblech,noun
Abdeckcreme,Abdeckcreme,noun
Abdecker,Abdecker,noun
Abdeckerei,Abdeckerei,noun
Abdeckerin,Abdeckerin,noun
Abdeckfarbe,Abdeckfarbe,noun
Abdeckmaterial,Abdeckmaterial,noun
Abdeckplane,Abdeckplane,noun
Abdeckplatte,Abdeckplatte,noun
Abdecktest,Abdecktest,noun
Abdeckung,Abdeckung,noun
Abdeel,,noun
Abderhalden,,noun
Abderit,Abderit,noun
Abdestillation,Abdestillation,noun
Abdi,,noun
Abdichtung,Abdichtung,noun
Abdikation,Abdikation,noun
Abdingbarkeit,Abdingbarkeit,noun
Abdisposition,Abdisposition,noun
Abditorium,Abditorium,noun
Abdiël,,noun
Abdomen,Abdomen,noun
Abdominalgravidität,Abdominalgravidität,noun
Abdominalhernie,Abdominalhernie,noun
Abdominoskopie,Abdominoskopie,noun
Abdon,,noun
Abdrehen,Abdrehen,noun
Abdrift,Abdrift,noun
Abdrosselung,Abdrosselung,noun
Abdrosslung,Abdrosslung,noun
Abdruck,Abdruck,noun
Abducens,Abducens,noun
Abduktion,Abduktion,noun
Abduktor,Abduktor,noun
Abduzens,Abduzens,noun
Abduzenslähmung,Abduzenslähmung,noun
Abece,Abece,noun
Abecebuch,Abecebuch,noun
Abecedarier,Abecedarier,noun
Abecedarium,Abecedarium,noun
Abecedarius,Abecedarius,noun
Abednego,,noun
Abee,,noun
Abel,,noun
Abel,,noun
Abel,,noun
Abele,,noun
Abelespiele,,noun
Abelia,,noun
Abelie,Abelie,noun
Abelmoschus,Abelmoschus,noun
Abenaki,Abenaki,noun
Abenaki,Abenaki,noun
Abenberg,,noun
Abend,Abend,noun
Abend,,noun
Abend,,noun
Abend-Make-up,Abend-Make-up,noun
Abendakademie,Abendakademie,noun
Abendandacht,Abendandacht,noun
Abendanfrage,Abendanfrage,noun
Abendanzug,Abendanzug,noun
Abendausgabe,Abendausgabe,noun
Abendblatt,Abendblatt,noun
Abendbrot,Abendbrot,noun
Abendbrottisch,Abendbrottisch,noun
Abendbrotzeit,Abendbrotzeit,noun
Abendbummel,Abendbummel,noun
Abenddämmerung,Abenddämmerung,noun
Abendempfang,Abendempfang,noun
Abendessen,Abendessen,noun
Abendessenszeit,Abendessenszeit,noun
Abendfriede,Abendfriede,noun
Abendfrieden,Abendfrieden,noun
Abendgarderobe,Abendgarderobe,noun
Abendgebet,Abendgebet,noun
Abendgesellschaft,Abendgesellschaft,noun
Abendgottesdienst,Abendgottesdienst,noun
Abendgymnasium,Abendgymnasium,noun
Abendhimmel,Abendhimmel,noun
Abendimbiss,Abendimbiss,noun
Abendkasse,Abendkasse,noun
Abendkleid,Abendkleid,noun
Abendkost,Abendkost,noun
Abendkurs,Abendkurs,noun
Abendland,Abendland,noun
Abendlicht,Abendlicht,noun
Abendlied,Abendlied,noun
Abendluft,Abendluft,noun
Abendländer,Abendländer,noun
Abendländerin,Abendländerin,noun
Abendmahl,Abendmahl,noun
Abendmahlsfeier,Abendmahlsfeier,noun
Abendmahlsgemeinschaft,Abendmahlsgemeinschaft,noun
Abendmahlsspiel,Abendmahlsspiel,noun
Abendmahlsstreit,Abendmahlsstreit,noun
Abendmahlswein,Abendmahlswein,noun
Abendmahlzeit,Abendmahlzeit,noun
Abendmesse,Abendmesse,noun
Abendmusik,Abendmusik,noun
Abendnachrichten,,noun
Abendnebel,Abendnebel,noun
Abendpause,Abendpause,noun
Abendprobe,Abendprobe,noun
Abendprogramm,Abendprogramm,noun
Abendpunkt,Abendpunkt,noun
Abendrealschule,Abendrealschule,noun
Abendrobe,Abendrobe,noun
Abendrot,Abendrot,noun
Abendruhe,Abendruhe,noun
Abendröte,Abendröte,noun
Abendschule,Abendschule,noun
Abendschüler,Abendschüler,noun
Abendschülerin,Abendschülerin,noun
Abendshow,Abendshow,noun
Abendsonne,Abendsonne,noun
Abendspaziergang,Abendspaziergang,noun
Abendstern,Abendstern,noun
Abendstille,Abendstille,noun
Abendstunde,Abendstunde,noun
Abendstück,Abendstück,noun
Abendtafel,Abendtafel,noun
Abendthermik,Abendthermik,noun
Abendtoilette,Abendtoilette,noun
Abendunterhaltung,Abendunterhaltung,noun
Abendunterricht,Abendunterricht,noun
Abendveranstaltung,Abendveranstaltung,noun
Abendverkehr,Abendverkehr,noun
Abendvorstellung,Abendvorstellung,noun
Abendweite,Abendweite,noun
Abendwind,Abendwind,noun
Abendzeit,Abendzeit,noun
Abendzeitung,Abendzeitung,noun
Abendzug,Abendzug,noun
Abens,Abens,noun
Abensberg,,noun
Abenteuer,Abenteuer,noun
Abenteuerbuch,Abenteuerbuch,noun
Abenteuerfilm,Abenteuerfilm,noun
Abenteuergeschichte,Abenteuergeschichte,noun
Abenteuerin,Abenteuerin,noun
Abenteuerkomödie,Abenteuerkomödie,noun
Abenteuerliteratur,Abenteuerliteratur,noun
Abenteuerlust,Abenteuerlust,noun
Abenteuerreise,Abenteuerreise,noun
Abenteuerroman,Abenteuerroman,noun
Abenteuerspiel,Abenteuerspiel,noun
Abenteuerspielplatz,Abenteuerspielplatz,noun
Abenteuertum,Abenteuertum,noun
Abenteuerurlaub,Abenteuerurlaub,noun
Abenteurer,Abenteurer,noun
Abenteurerin,Abenteurerin,noun
Aber,Aber,noun
Aberchen,Aberchen,noun
Aberdeen,,noun
Aberdeenrind,Aberdeenrind,noun
Aberdepot,Aberdepot,noun
Aberglaube,Aberglaube,noun
Aberglauben,Aberglauben,noun
Aberkennung,Aberkennung,noun
Aberle,,noun
Aberlin,,noun
Aberlin,,noun
Abermillionen,,noun
Aberratio,Aberratio,noun
Aberratio testis,Aberratio testis,noun
Aberration,Aberration,noun
Aberrationskonstante,Aberrationskonstante,noun
Aberrationszeit,Aberrationszeit,noun
Aberraute,Aberraute,noun
Aberrometer,Aberrometer,noun
Abersinn,Abersinn,noun
Aberwitz,Aberwitz,noun
Abessinien,,noun
Abessinien,Abessinien,noun
Abessinier,Abessinier,noun
Abessinierbrunnen,Abessinierbrunnen,noun
Abessinierin,Abessinierin,noun
Abessinierkatze,Abessinierkatze,noun
Abessiv,Abessiv,noun
Abfahrer,Abfahrer,noun
Abfahrerin,Abfahrerin,noun
Abfahrt,Abfahrt,noun
Abfahrtgleis,Abfahrtgleis,noun
Abfahrtsdatum,Abfahrtsdatum,noun
Abfahrtsgleis,Abfahrtsgleis,noun
Abfahrtshang,Abfahrtshang,noun
Abfahrtslauf,Abfahrtslauf,noun
Abfahrtsläufer,Abfahrtsläufer,noun
Abfahrtsläuferin,Abfahrtsläuferin,noun
Abfahrtspiste,Abfahrtspiste,noun
Abfahrtsplan,Abfahrtsplan,noun
Abfahrtsrennen,Abfahrtsrennen,noun
Abfahrtssieg,Abfahrtssieg,noun
Abfahrtssieger,Abfahrtssieger,noun
Abfahrtssiegerin,Abfahrtssiegerin,noun
Abfahrtssignal,Abfahrtssignal,noun
Abfahrtsski,Abfahrtsski,noun
Abfahrtsstrecke,Abfahrtsstrecke,noun
Abfahrtstafel,Abfahrtstafel,noun
Abfahrtsweltmeister,Abfahrtsweltmeister,noun
Abfahrtsweltmeisterin,Abfahrtsweltmeisterin,noun
Abfahrtszeit,Abfahrtszeit,noun
Abfall,Abfall,noun
Abfallart,Abfallart,noun
